Time_h,Cell_death_percent,miRNA,Exp_no,Time_h_num
03h,2.3,CONTROL,Exp_2,3
06h,22.4,CONTROL,Exp_2,6
08h,36.1,CONTROL,Exp_2,8
12h,69.8,CONTROL,Exp_2,12
03h,1.8,CONTROL,Exp_3,3
06h,10,CONTROL,Exp_3,6
08h,18.4,CONTROL,Exp_3,8
12h,40.5,CONTROL,Exp_3,12
03h,3.4,CASP4,Exp_2,3
06h,9.8,CASP4,Exp_2,6
08h,12.1,CASP4,Exp_2,8
12h,10,CASP4,Exp_2,12
03h,-2.4,CASP4,Exp_3,3
06h,-1.4,CASP4,Exp_3,6
08h,-2,CASP4,Exp_3,8
12h,-2.3,CASP4,Exp_3,12
03h,-2.7,CONTROL,Exp_1,3
06h,27.4,CONTROL,Exp_1,6
08h,42.1,CONTROL,Exp_1,8
12h,76.6,CONTROL,Exp_1,12
03h,-5.7,CASP4,Exp_1,3
06h,1,CASP4,Exp_1,6
08h,9.9,CASP4,Exp_1,8
12h,12.7,CASP4,Exp_1,12
03h,1.6,CONTROL,Exp_5,3
06h,14.6,CONTROL,Exp_5,6
08h,21,CONTROL,Exp_5,8
12h,46.5,CONTROL,Exp_5,12
03h,3.7,CASP4,Exp_5,3
06h,10.2,CASP4,Exp_5,6
08h,10.5,CASP4,Exp_5,8
12h,11.8,CASP4,Exp_5,12
03h,-5.3,CONTROL,Exp_4,3
06h,14.9,CONTROL,Exp_4,6
08h,23.6,CONTROL,Exp_4,8
12h,56.5,CONTROL,Exp_4,12
03h,-6.3,CASP4,Exp_4,3
06h,-1.2,CASP4,Exp_4,6
08h,1.7,CASP4,Exp_4,8
12h,-0.1,CASP4,Exp_4,12
